"truck_id","island","home_region","latitude","longitude","cargo_t","truck_brand","truck_age","cluster","cluster_number","silhouette_width"
"TRK-075","North Island","Auckland",-36.8048439861998,174.961839425277,6.6,"Scania","Old","N2","2",NA
"TRK-076","North Island","Tauranga",-37.6970257702083,176.082497260402,19.5,"Scania","Old","N8","8",NA
"TRK-077","North Island","Napier",-39.6013403991991,176.882508903417,18.4,"Scania","Old","N1","1",NA
"TRK-078","North Island","Hamilton",-37.7366752661417,175.474140932055,22.1,"Fiat","New","N4","4",NA
"TRK-079","North Island","Auckland",-36.7540759908882,174.718479747291,17.7,"Scania","Old","N2","2",NA
"TRK-080","South Island","Queenstown",-44.9927197943978,168.590015417719,23.9,"Fiat","New","S4","4",NA
"TRK-081","North Island","Auckland",-36.8118421789102,174.796491493191,17.6,"Fiat","Old","N2","2",NA
"TRK-082","North Island","New Plymouth",-39.0392783598349,174.155705828625,7.1,"Fiat","Old","N9","9",NA
"TRK-083","North Island","Palmerston North",-40.2712060110025,175.526202642319,16.8,"Scania","Old","N10","10",NA
"TRK-084","North Island","New Plymouth",-39.1833392656505,174.058023466219,11.8,"Fiat","Old","N9","9",NA
"TRK-085","North Island","Auckland",-36.733172139191,174.746927059757,21.8,"Fiat","Old","N2","2",NA
"TRK-086","North Island","Whangarei",-35.8159106213166,174.19758832187,13,"Scania","New","N7","7",NA
"TRK-087","North Island","Tauranga",-37.6535009294831,176.167475613922,9,"Scania","Old","N8","8",NA
"TRK-088","North Island","Gisborne",-38.5844145918084,178.237920005916,10.2,"Scania","Old","N5","5",NA
"TRK-089","North Island","Auckland",-36.8252859847724,174.878155179292,9.5,"Fiat","Old","N2","2",NA
"TRK-090","North Island","Auckland",-37.0049870134587,174.668109081087,6.7,"Fiat","New","N2","2",NA
"TRK-091","North Island","Gisborne",-38.6595673248811,178.063745008803,19.4,"Scania","Old","N5","5",NA
"TRK-092","North Island","Rotorua",-38.1035364810842,176.216846983876,11.7,"Scania","New","N6","6",NA
"TRK-093","North Island","Palmerston North",-40.2570589000853,175.589733061876,18.5,"Fiat","New","N10","10",NA
"TRK-094","South Island","Christchurch",-43.4819624886458,172.750406872827,10.2,"Scania","New","S2","2",NA
"TRK-095","South Island","Christchurch",-43.4743092134545,172.715771967805,21.3,"Scania","New","S2","2",NA
"TRK-096","South Island","Christchurch",-43.4177309059881,172.75754130564,18.2,"Scania","Old","S2","2",NA
"TRK-097","North Island","Palmerston North",-40.4267447814423,175.670545776765,13.9,"Fiat","Old","N10","10",NA
"TRK-098","South Island","Christchurch",-43.5938559640981,172.532855176852,7.1,"Fiat","Old","S2","2",NA
"TRK-099","North Island","Tauranga",-37.6878314196142,176.100373990111,18.5,"Scania","Old","N8","8",NA
"TRK-100","North Island","Wellington",-41.2521080266047,174.618314184069,10.6,"Scania","New","N3","3",NA
"TRK-101","North Island","Auckland",-36.7084593701153,174.843562637916,21.4,"Fiat","New","N2","2",NA
"TRK-102","South Island","Nelson",-41.3565269852363,173.460756223534,13.8,"Scania","Old","S2","2",NA
"TRK-103","North Island","Wellington",-41.373395395662,174.565261580847,8.8,"Scania","New","N3","3",NA
"TRK-104","North Island","Auckland",-36.7715681799175,174.773342734916,8.1,"Fiat","Old","N2","2",NA
"TRK-105","North Island","Auckland",-36.8891890241517,174.82963710785,23.2,"Scania","New","N2","2",NA
"TRK-106","North Island","Auckland",-36.8705137830536,174.73451674804,13.7,"Fiat","Old","N2","2",NA
"TRK-107","North Island","Tauranga",-37.6264743869486,176.057627969693,8.7,"Fiat","New","N8","8",NA
"TRK-108","South Island","Dunedin",-45.9394567683647,170.371234828265,17.4,"Fiat","New","S1","1",NA
"TRK-109","South Island","Christchurch",-43.6044422931424,172.803668611984,5,"Fiat","New","S2","2",NA
"TRK-110","South Island","Dunedin",-45.9036942637182,170.475421215107,12.8,"Fiat","New","S1","1",NA
"TRK-111","North Island","Wellington",-41.325207273635,174.930034040761,13,"Scania","Old","N3","3",NA
"TRK-112","South Island","Invercargill",-46.4816701961745,168.26942038322,18.4,"Scania","New","S3","3",NA
"TRK-113","North Island","Auckland",-36.7614159659869,174.930357745108,15.6,"Scania","New","N2","2",NA
"TRK-114","South Island","Christchurch",-43.5801057986042,172.707061318036,6.4,"Fiat","New","S2","2",NA
"TRK-115","North Island","Auckland",-36.8421642409132,174.766320271995,8.9,"Fiat","Old","N2","2",NA
"TRK-116","North Island","Auckland",-36.8352975107184,174.914313179254,22.3,"Scania","New","N2","2",NA
"TRK-117","South Island","Dunedin",-46.0638768518871,170.455208654825,7.1,"Scania","New","S1","1",NA
"TRK-118","North Island","Auckland",-36.8143723428639,174.715761955965,10.8,"Fiat","Old","N2","2",NA
"TRK-119","North Island","Auckland",-36.6988366180053,174.762122062583,9,"Fiat","New","N2","2",NA
"TRK-120","North Island","Palmerston North",-40.3573738120329,175.597938575148,17.7,"Scania","New","N10","10",NA
