"id","lon","lat","barrier_group","region","production_type","is_sheltered","production_yield","times_selected_as_start","probability_affected_pct","probability_lost_pct","probability_culled_pct","expected_loss_contribution"
"FARM-019",174.877740518054,-36.7766690486367,"North Island","Auckland","Eggs",TRUE,1082.30468947694,10,29.4,29.2,22.8,316.032969327267
"FARM-020",175.061077373656,-37.7904511691542,"North Island","Waikato","Eggs",FALSE,813.658752860798,9,31.4,31.4,24,255.488848398291
"FARM-021",172.608726701918,-43.5321215499595,"South Island","Canterbury","Eggs",TRUE,937.994450223477,8,9.8,9.8,8,91.9234561219007
"FARM-022",172.524938562491,-43.5161498267018,"South Island","Canterbury","Meat",TRUE,1010.65580280421,13,10,10,7.6,101.065580280421
"FARM-023",174.701164514792,-36.9570127069953,"North Island","Auckland","Meat",TRUE,925.859227289247,8,30.2,30.2,24.2,279.609486641353
"FARM-024",175.150724394368,-37.6663937933023,"North Island","Waikato","Eggs",TRUE,1048.32149019905,4,30.6,30.6,24.8,320.786376000909
"FARM-025",172.684331109265,-43.5839810094735,"South Island","Canterbury","Eggs",TRUE,880.535629843644,5,9.4,9.4,7.4,82.7703492053025
"FARM-026",175.425951977737,-37.8196228914656,"North Island","Waikato","Eggs",FALSE,1136.067442208,14,31.8,31.8,25.6,361.269446622144
"FARM-027",172.580738811726,-43.461178119665,"South Island","Canterbury","Eggs",TRUE,1031.1308725522,5,9.4,9.4,7.4,96.9263020199068
"FARM-028",175.252665833483,-37.8299007303728,"North Island","Waikato","Meat",TRUE,1082.17636075071,6,30.6,30.6,24.2,331.145966389717
"FARM-029",175.146602133554,-37.8003484852849,"North Island","Waikato","Meat",TRUE,966.745707355009,6,30.6,30.4,24,293.890695035923
"FARM-030",176.289499970729,-37.5370465959405,"North Island","Bay of Plenty","Meat",FALSE,897.730422673299,18,32.2,32,25.4,287.273735255456
"FARM-031",174.387419466914,-35.7834636458449,"North Island","Northland","Eggs",TRUE,1218.97856046086,13,21.2,21.2,16.2,258.423454817702
"FARM-032",175.092286573218,-37.8126854589098,"North Island","Waikato","Meat",FALSE,870.6238168617,10,31.2,31.2,26.6,271.63463086085
"FARM-033",177.087729242293,-39.3398915907267,"North Island","Hawke's Bay","Meat",FALSE,879.942421726335,8,21,21,17,184.78790856253
"FARM-034",175.139695381987,-37.8242463482379,"North Island","Waikato","Eggs",FALSE,897.228705129525,13,32,32,26.6,287.113185641448
"FARM-035",176.043758375504,-37.7453727556011,"North Island","Bay of Plenty","Eggs",FALSE,1273.19839511602,11,31.6,31.6,24.2,402.330692856662
"FARM-036",172.463378537021,-43.5042373129301,"South Island","Canterbury","Meat",TRUE,984.288366910572,12,10.8,10.8,8.6,106.303143626342
"FARM-037",175.136787569508,-37.7286878241348,"North Island","Waikato","Meat",TRUE,1166.72117901921,6,30.8,30.8,25,359.350123137917
"FARM-038",175.568242469037,-40.4252287366778,"North Island","Manawatu","Eggs",TRUE,845.871685858879,8,16,16,13.2,135.339469737421
"FARM-039",176.973938705178,-39.5038281029087,"North Island","Hawke's Bay","Eggs",TRUE,936.381462531146,8,16,16,12.4,149.821034004983
"FARM-040",172.554681370898,-43.5423638001869,"South Island","Canterbury","Eggs",FALSE,976.127587273332,9,10,10,8.4,97.6127587273332
"FARM-041",172.616121303484,-43.6264705216383,"South Island","Canterbury","Eggs",FALSE,1098.7256262959,7,10.2,10.2,8.2,112.070013882182
"FARM-042",174.286235201178,-35.7180956815985,"North Island","Northland","Eggs",TRUE,954.480316527686,16,20.8,20.8,16,198.531905837759
"FARM-043",172.780511153025,-43.3608307646801,"South Island","Canterbury","Meat",FALSE,1104.4844202824,11,10.4,10.4,8.2,114.86637970937
"FARM-044",172.91464798231,-43.4414190928526,"South Island","Canterbury","Eggs",TRUE,1016.91583922396,11,10.4,10.4,8.4,105.759247279292
"FARM-045",175.15173720626,-37.8629930145483,"North Island","Waikato","Eggs",FALSE,1027.03848420984,11,31.8,31.8,26.6,326.598237978729
"FARM-046",175.508744502627,-37.7548115316902,"North Island","Waikato","Meat",TRUE,1318.18066460761,7,30.8,30.8,23.4,405.999644699144
"FARM-047",168.605815726217,-46.434733089326,"South Island","Southland","Meat",FALSE,898.413226347708,11,6.2,6.2,5.4,55.7016200335579
"FARM-048",174.787774763562,-36.8663591831723,"North Island","Auckland","Meat",FALSE,1146.29194553264,14,31.4,31.4,24.2,359.935670897249
"FARM-049",175.717633488539,-40.2727639439792,"North Island","Manawatu","Eggs",FALSE,1164.60079280896,10,21.2,21.2,17.4,246.8953680755
"FARM-050",174.551344874518,-36.7894061786117,"North Island","Auckland","Eggs",FALSE,1250.10787057117,9,31.2,31.2,25,390.033655618205
"FARM-051",173.336261752816,-41.1772759187387,"South Island","Nelson","Meat",TRUE,1048.6179780216,6,2.2,2.2,1.4,23.0695955164752
"FARM-052",174.014702279216,-39.0141955563349,"North Island","Taranaki","Eggs",FALSE,1037.61774320024,6,30,30,24.8,311.285322960072
"FARM-053",168.330150301543,-46.4901114024215,"South Island","Southland","Meat",FALSE,1022.99637155209,12,6,6,4.4,61.3797822931254
"FARM-054",174.386259987509,-35.7697123152996,"North Island","Northland","Meat",FALSE,1107.2843958994,12,26.2,26.2,20.8,290.108511725643
"FARM-055",175.733999625392,-40.4812967814854,"North Island","Manawatu","Eggs",TRUE,1091.5812428742,13,16.6,16.6,13.2,181.202486317117
"FARM-056",176.904458543426,-39.4280287400644,"North Island","Hawke's Bay","Meat",FALSE,957.727466317326,12,20,20,16.6,191.545493263465
"FARM-057",177.226644877511,-39.3540336742044,"North Island","Hawke's Bay","Eggs",FALSE,1132.89972013976,12,18.6,18.6,14.2,210.719347945995
"FARM-058",175.350680689907,-37.9521064762714,"North Island","Waikato","Meat",TRUE,1089.11903906843,14,32,32,25.2,348.518092501898
"FARM-059",168.325714719892,-46.4020440500644,"South Island","Southland","Eggs",FALSE,1105.01774223905,9,6.2,6.2,5,68.5111000188211
"FARM-060",175.33298721656,-37.7387406862693,"North Island","Waikato","Meat",FALSE,1422.23691925502,9,31.2,31.2,24.8,443.737918807566
"FARM-061",174.74796907575,-36.8719101938151,"North Island","Auckland","Eggs",TRUE,1041.56171487302,7,30.2,30.2,23,314.551637891652
"FARM-062",174.188791520961,-35.8025938694671,"North Island","Northland","Meat",TRUE,922.938813328347,15,20.4,20.4,15.8,188.279517918983
"FARM-063",176.23038968063,-37.7913578244112,"North Island","Bay of Plenty","Meat",TRUE,1063.33212291836,9,31.4,31.2,25.6,331.759622350528
"FARM-064",175.723908810934,-40.2317933753972,"North Island","Manawatu","Meat",FALSE,960.165348866983,17,21,21,15.8,201.634723262066
"FARM-065",172.685936246723,-43.551214449918,"South Island","Canterbury","Meat",FALSE,884.446866677477,11,10.6,10.6,9.6,93.7513678678126
"FARM-066",175.324589385308,-37.6715122763374,"North Island","Waikato","Meat",TRUE,943.524903158165,9,31.4,31.2,25.4,294.379769785347
"FARM-067",174.098865968198,-39.1250612436772,"North Island","Taranaki","Meat",FALSE,1016.53343961773,11,31.2,31.2,24.8,317.158433160732
"FARM-068",175.711752786797,-40.2312632729941,"North Island","Manawatu","Eggs",FALSE,1145.88421405892,13,22.4,22.4,17.6,256.678063949198
"FARM-069",176.015992881219,-37.6361066784337,"North Island","Bay of Plenty","Eggs",TRUE,1053.54910254917,8,30.8,30.8,24.8,324.493123585144
"FARM-070",174.218993432971,-39.0574459446196,"North Island","Taranaki","Meat",FALSE,876.374902573195,9,31,31,23.6,271.67621979769
"FARM-071",174.21090725442,-35.6036052467275,"North Island","Northland","Meat",TRUE,976.655398151307,5,18.8,18.6,15,181.657904056143
"FARM-072",172.68019888462,-43.5667625732117,"South Island","Canterbury","Eggs",TRUE,770.542509758053,10,10.2,10.2,7.6,78.5953359953214
"FARM-073",177.00310248983,-39.5263369569501,"North Island","Hawke's Bay","Eggs",TRUE,969.665873374419,9,15.8,15.8,12.4,153.207207993158
"FARM-074",174.808456818273,-41.2906753364745,"North Island","Wellington","Eggs",TRUE,803.272415813262,14,10.2,10,8.8,80.3272415813262
"FARM-075",175.09281558385,-37.8000472498865,"North Island","Waikato","Meat",TRUE,791.488159193133,8,31.2,31,25.6,245.361329349871
"FARM-076",174.082919210143,-39.0748592078361,"North Island","Taranaki","Meat",FALSE,1144.32072124688,12,31.4,31.4,25,359.31670647152
"FARM-077",176.950156222699,-39.5082952755437,"North Island","Hawke's Bay","Meat",FALSE,973.279783148461,5,17.6,17.6,13.4,171.297241834129
"FARM-078",175.728729319898,-40.4458147837654,"North Island","Manawatu","Eggs",TRUE,1000.49344017626,6,17.2,17.2,15,172.084871710317
"FARM-079",175.340045013625,-37.6941840817822,"North Island","Waikato","Meat",FALSE,1076.74227482755,14,32,32,25.4,344.557527944816
"FARM-080",174.389228943855,-35.8039076941832,"North Island","Northland","Eggs",FALSE,931.590896764144,13,26.6,26.6,21.2,247.803178539262
"FARM-081",175.417122912814,-37.8659724279312,"North Island","Waikato","Eggs",TRUE,968.364382124811,7,30.8,30.8,25.4,298.256229694442
"FARM-082",168.265106262269,-46.4966514819536,"South Island","Southland","Eggs",FALSE,914.116769713997,10,5.6,5.6,3.4,51.1905391039838
"FARM-083",170.425772843082,-45.7140974331319,"South Island","Otago","Meat",TRUE,946.99956657419,10,3.6,3.6,3,34.0919843966708
"FARM-084",173.279002296463,-41.2143057722789,"South Island","Nelson","Meat",FALSE,842.55159638068,7,2.6,2.6,2.2,21.9063415058977
"FARM-085",175.320670368074,-37.7298613870338,"North Island","Waikato","Meat",FALSE,1118.25782814696,9,30.8,30.8,25.2,344.423411069264
"FARM-086",173.448648755862,-41.4669786821104,"South Island","Nelson","Meat",FALSE,1092.88473702162,9,4.4,4.4,3.8,48.0869284289513
"FARM-087",176.066167617716,-37.7280107748974,"North Island","Bay of Plenty","Meat",TRUE,882.134726175312,10,31.4,31.2,25,275.226034566697
"FARM-088",168.245125525206,-46.2942226455938,"South Island","Southland","Meat",TRUE,1267.24060779071,14,5.8,5.8,4.6,73.4999552518612
"FARM-089",175.372918184099,-37.6510365345837,"North Island","Waikato","Eggs",FALSE,962.510716386138,10,31.4,31.4,24.6,302.228364945247
"FARM-090",175.231773171018,-37.9911508424776,"North Island","Waikato","Meat",FALSE,954.835390511755,18,32.2,32.2,24.4,307.456995744785
"FARM-091",168.324183460336,-46.6436308500376,"South Island","Southland","Meat",FALSE,775.100183512003,10,5.8,5.8,4.4,44.9558106436962
"FARM-092",176.982630735662,-39.6268459770111,"North Island","Hawke's Bay","Meat",TRUE,1005.13080217148,5,15,15,12.4,150.769620325722
"FARM-093",170.426251877962,-46.0173094260354,"South Island","Otago","Meat",TRUE,863.342916673486,12,3.4,3.4,2.6,29.3536591668985
"FARM-094",174.673069248229,-36.7762611449915,"North Island","Auckland","Meat",FALSE,1052.70783809738,7,31.2,31,24,326.339429810188
"FARM-095",172.609166883538,-43.484529065825,"South Island","Canterbury","Meat",FALSE,1029.31215433228,15,11,11,9,113.224336976551
"FARM-096",172.592951271638,-43.3523318671697,"South Island","Canterbury","Meat",FALSE,1128.94448900707,15,11.6,11.6,9.2,130.95756072482
"FARM-097",170.417595764591,-45.8605014411772,"South Island","Otago","Eggs",FALSE,898.876729211559,14,4.6,4.6,3.8,41.3483295437317
"FARM-098",172.745100840816,-43.564461262214,"South Island","Canterbury","Meat",TRUE,750.612152275431,9,10.8,10.8,9.4,81.0661124457466
"FARM-099",174.022273041675,-38.8987323364852,"North Island","Taranaki","Eggs",FALSE,1058.50686712629,6,30,30,26.4,317.552060137887
"FARM-100",172.648202910904,-43.4524290636388,"South Island","Canterbury","Eggs",FALSE,1066.20485236145,14,11,11,9.6,117.28253375976
"FARM-101",175.296442987138,-37.7195720874386,"North Island","Waikato","Meat",TRUE,1192.59488865132,14,31.4,31.2,23.6,372.089605259212
"FARM-102",174.556947777736,-41.182784578398,"North Island","Wellington","Eggs",TRUE,975.522129744789,9,8.4,8.4,5.8,81.9438588985623
"FARM-103",172.681553188563,-43.5514130769686,"South Island","Canterbury","Eggs",TRUE,1074.93535646825,8,9.6,9.6,7.6,103.193794220952
"FARM-104",175.460196058394,-37.7536368936088,"North Island","Waikato","Eggs",FALSE,1069.02161005967,7,31,31,26.2,331.396699118498
"FARM-105",175.27835142556,-37.6816436213426,"North Island","Waikato","Eggs",FALSE,928.557693996687,17,31.6,31.6,22.6,293.424231302953
"FARM-106",175.186970576299,-37.9852276157163,"North Island","Waikato","Meat",TRUE,766.503641442165,6,30.4,30.4,24.2,233.017106998418
"FARM-107",174.237338976281,-39.0584489821384,"North Island","Taranaki","Meat",TRUE,896.646619133023,9,28.4,28.4,22.6,254.647639833779
"FARM-108",176.201262946787,-37.7770980920038,"North Island","Bay of Plenty","Meat",FALSE,1022.26110836299,10,31.8,31.8,27.6,325.079032459431
"FARM-109",174.881682040915,-36.9400934214911,"North Island","Auckland","Eggs",FALSE,1020.31442363563,19,32.2,32,26.4,326.500615563402
"FARM-110",176.195871305017,-37.7676112067634,"North Island","Bay of Plenty","Eggs",FALSE,794.148723928762,14,31.2,31.2,24.4,247.774401865774
"FARM-111",172.713608555131,-43.4938569248846,"South Island","Canterbury","Eggs",FALSE,986.034448394817,12,10.8,10.8,8.6,106.49172042664
"FARM-112",174.953518617727,-41.2917349312264,"North Island","Wellington","Eggs",TRUE,832.268809840805,15,9.6,9.6,7.4,79.8978057447173
"FARM-113",175.358970308089,-37.9018195359799,"North Island","Waikato","Meat",TRUE,1111.72410363246,12,31.6,31.6,24.4,351.304816747857
"FARM-114",174.805028139579,-36.7913308625157,"North Island","Auckland","Eggs",FALSE,1011.65238789368,5,30.6,30.6,22.8,309.565630695466
"FARM-115",175.199037406887,-37.7413804990076,"North Island","Waikato","Meat",FALSE,925.010681128884,7,31.6,31.6,26.2,292.303375236727
"FARM-116",175.349657668796,-37.7426105544203,"North Island","Waikato","Meat",TRUE,1091.76152184141,6,30.6,30.6,24.2,334.079025683471
"FARM-117",176.120292480133,-37.6538572547108,"North Island","Bay of Plenty","Eggs",FALSE,869.644783672593,9,31.2,31.2,26.6,271.329172505849
"FARM-118",175.541660478247,-37.6682316356289,"North Island","Waikato","Eggs",TRUE,1174.92369855147,13,32,32,23.2,375.97558353647
"FARM-119",175.321142917238,-37.8573116960132,"North Island","Waikato","Meat",TRUE,884.540254171529,8,30.4,30.4,23.8,268.900237268145
"FARM-120",170.404237040571,-45.9398848241837,"South Island","Otago","Meat",FALSE,728.913344965649,9,4,4,3.4,29.156533798626
"FARM-121",172.83692433995,-43.4564126853488,"South Island","Canterbury","Eggs",TRUE,862.380138902327,11,10.4,10.4,7.8,89.687534445842
"FARM-122",175.224799386602,-37.7298260348525,"North Island","Waikato","Meat",FALSE,946.531500314356,7,31.6,31.6,24.8,299.103954099336
"FARM-123",175.979623481367,-37.5791108060313,"North Island","Bay of Plenty","Eggs",TRUE,973.51694398218,9,31.2,31,24.2,301.790252634476
"FARM-124",170.374610119111,-45.8811390598386,"South Island","Otago","Eggs",TRUE,880.103308548026,7,3.2,3.2,2.6,28.1633058735368
"FARM-125",172.644998439906,-43.4694964039313,"South Island","Canterbury","Eggs",FALSE,941.080536126478,10,10,10,6.4,94.1080536126478
"FARM-126",175.228156834703,-37.6776471846826,"North Island","Waikato","Meat",TRUE,1041.05876234866,7,31,30.8,24.8,320.646098803387
"FARM-127",172.695030937722,-43.600536205371,"South Island","Canterbury","Eggs",FALSE,1038.72129737529,13,11,11,7.8,114.259342711282
"FARM-128",175.582477761673,-40.1837527928321,"North Island","Manawatu","Meat",TRUE,1016.56180955316,8,16,16,11.8,162.649889528506
"FARM-129",175.057164534819,-37.8630020695495,"North Island","Waikato","Meat",TRUE,862.725831621632,11,31.2,31.2,23.6,269.170459465949
"FARM-130",172.605239099242,-43.6934157626782,"South Island","Canterbury","Eggs",TRUE,1031.94049748508,13,10.6,10.6,8.2,109.385692733418
"FARM-131",172.852056948544,-43.5423993779924,"South Island","Canterbury","Meat",FALSE,1210.50030118707,7,10,10,7.8,121.050030118707
"FARM-132",174.026878052324,-39.0395860529694,"North Island","Taranaki","Meat",FALSE,878.734778674945,10,30.4,30.4,24.2,267.135372717183
"FARM-133",175.20933627176,-37.8583239219429,"North Island","Waikato","Meat",FALSE,1287.93003436396,10,31.6,31.6,25,406.985890859011
"FARM-134",175.265529408998,-37.8916362271701,"North Island","Waikato","Eggs",FALSE,1129.85033264618,8,30.2,30.2,24.2,341.214800459146
"FARM-135",174.518367353823,-35.7871434165634,"North Island","Northland","Eggs",TRUE,810.41384183404,8,20.6,20.6,16,166.945251417812
"FARM-136",175.175437451764,-37.67781371843,"North Island","Waikato","Eggs",TRUE,856.506118405846,7,31.4,31.4,25.2,268.942921179436
"FARM-137",175.373680192503,-38.0000663704984,"North Island","Waikato","Eggs",FALSE,954.494490821044,8,31.4,31.4,23.8,299.711270117808
"FARM-138",175.536334655682,-40.5690871859582,"North Island","Manawatu","Eggs",FALSE,999.669459264915,9,18.6,18.6,15,185.938519423274
"FARM-139",176.130689042643,-37.819110001012,"North Island","Bay of Plenty","Meat",FALSE,863.039296753652,9,31.4,31.4,25,270.994339180647
"FARM-140",174.717374078092,-36.7428008480478,"North Island","Auckland","Eggs",FALSE,902.553523533525,6,31.4,31.2,26.8,281.59669934246
"FARM-141",174.173712088924,-38.9705129847917,"North Island","Taranaki","Eggs",FALSE,1056.44666163821,9,30.2,30.2,23.6,319.046891814739
"FARM-142",174.833040420614,-36.9342632298901,"North Island","Auckland","Eggs",FALSE,1041.6994573973,11,31.2,31,23.2,322.926831793163
"FARM-143",175.739141482097,-40.3553702507726,"North Island","Manawatu","Meat",TRUE,886.791866444132,8,17.4,17.4,14.4,154.301784761279
"FARM-144",174.207866918278,-38.9976631851297,"North Island","Taranaki","Eggs",FALSE,929.03729234208,12,31.4,31.4,25.8,291.717709795413
"FARM-145",174.57939756954,-35.6714908048131,"North Island","Northland","Eggs",FALSE,862.907435934241,6,23.8,23.8,18.6,205.371969752349
"FARM-146",175.288454777846,-37.7368055526598,"North Island","Waikato","Meat",TRUE,609.505043586008,10,30.8,30.8,25,187.72755342449
"FARM-147",174.975772973649,-37.7702577319236,"North Island","Waikato","Meat",FALSE,910.97987526986,13,31.2,31,24.8,282.403761333657
"FARM-148",174.015039902633,-39.0273433215537,"North Island","Taranaki","Eggs",FALSE,904.153015814024,12,31.6,31.6,25,285.712352997232
"FARM-149",173.986887251175,-39.204023199151,"North Island","Taranaki","Eggs",FALSE,984.112456552664,15,31,31,25,305.074861531326
"FARM-150",175.244485349811,-37.578529092013,"North Island","Waikato","Eggs",TRUE,852.956326820641,6,30.8,30.8,25.2,262.710548660757
