"farm_id","longitude","latitude","island","region","production_type","is_sheltered","production_yield"
"FARM-042",174.286235201178,-35.7180956815985,"North Island","Northland","Eggs",TRUE,954.480316527686
"FARM-043",172.780511153025,-43.3608307646801,"South Island","Canterbury","Meat",FALSE,1104.4844202824
"FARM-044",172.91464798231,-43.4414190928526,"South Island","Canterbury","Eggs",TRUE,1016.91583922396
"FARM-045",175.15173720626,-37.8629930145483,"North Island","Waikato","Eggs",FALSE,1027.03848420984
"FARM-046",175.508744502627,-37.7548115316902,"North Island","Waikato","Meat",TRUE,1318.18066460761
"FARM-047",168.605815726217,-46.434733089326,"South Island","Southland","Meat",FALSE,898.413226347708
"FARM-048",174.787774763562,-36.8663591831723,"North Island","Auckland","Meat",FALSE,1146.29194553264
"FARM-049",175.717633488539,-40.2727639439792,"North Island","Manawatu","Eggs",FALSE,1164.60079280896
"FARM-050",174.551344874518,-36.7894061786117,"North Island","Auckland","Eggs",FALSE,1250.10787057117
"FARM-051",173.336261752816,-41.1772759187387,"South Island","Nelson","Meat",TRUE,1048.6179780216
"FARM-052",174.014702279216,-39.0141955563349,"North Island","Taranaki","Eggs",FALSE,1037.61774320024
"FARM-053",168.330150301543,-46.4901114024215,"South Island","Southland","Meat",FALSE,1022.99637155209
"FARM-054",174.386259987509,-35.7697123152996,"North Island","Northland","Meat",FALSE,1107.2843958994
"FARM-055",175.733999625392,-40.4812967814854,"North Island","Manawatu","Eggs",TRUE,1091.5812428742
"FARM-056",176.904458543426,-39.4280287400644,"North Island","Hawke's Bay","Meat",FALSE,957.727466317326
"FARM-057",177.226644877511,-39.3540336742044,"North Island","Hawke's Bay","Eggs",FALSE,1132.89972013976
"FARM-058",175.350680689907,-37.9521064762714,"North Island","Waikato","Meat",TRUE,1089.11903906843
"FARM-059",168.325714719892,-46.4020440500644,"South Island","Southland","Eggs",FALSE,1105.01774223905
"FARM-060",175.33298721656,-37.7387406862693,"North Island","Waikato","Meat",FALSE,1422.23691925502
"FARM-061",174.74796907575,-36.8719101938151,"North Island","Auckland","Eggs",TRUE,1041.56171487302
"FARM-062",174.188791520961,-35.8025938694671,"North Island","Northland","Meat",TRUE,922.938813328347
"FARM-063",176.23038968063,-37.7913578244112,"North Island","Bay of Plenty","Meat",TRUE,1063.33212291836
"FARM-064",175.723908810934,-40.2317933753972,"North Island","Manawatu","Meat",FALSE,960.165348866983
"FARM-065",172.685936246723,-43.551214449918,"South Island","Canterbury","Meat",FALSE,884.446866677477
"FARM-066",175.324589385308,-37.6715122763374,"North Island","Waikato","Meat",TRUE,943.524903158165
"FARM-067",174.098865968198,-39.1250612436772,"North Island","Taranaki","Meat",FALSE,1016.53343961773
"FARM-068",175.711752786797,-40.2312632729941,"North Island","Manawatu","Eggs",FALSE,1145.88421405892
"FARM-069",176.015992881219,-37.6361066784337,"North Island","Bay of Plenty","Eggs",TRUE,1053.54910254917
"FARM-070",174.218993432971,-39.0574459446196,"North Island","Taranaki","Meat",FALSE,876.374902573195
"FARM-071",174.21090725442,-35.6036052467275,"North Island","Northland","Meat",TRUE,976.655398151307
"FARM-072",172.68019888462,-43.5667625732117,"South Island","Canterbury","Eggs",TRUE,770.542509758053
"FARM-073",177.00310248983,-39.5263369569501,"North Island","Hawke's Bay","Eggs",TRUE,969.665873374419
"FARM-074",174.808456818273,-41.2906753364745,"North Island","Wellington","Eggs",TRUE,803.272415813262
"FARM-075",175.09281558385,-37.8000472498865,"North Island","Waikato","Meat",TRUE,791.488159193133
"FARM-076",174.082919210143,-39.0748592078361,"North Island","Taranaki","Meat",FALSE,1144.32072124688
"FARM-077",176.950156222699,-39.5082952755437,"North Island","Hawke's Bay","Meat",FALSE,973.279783148461
"FARM-078",175.728729319898,-40.4458147837654,"North Island","Manawatu","Eggs",TRUE,1000.49344017626
"FARM-079",175.340045013625,-37.6941840817822,"North Island","Waikato","Meat",FALSE,1076.74227482755
"FARM-080",174.389228943855,-35.8039076941832,"North Island","Northland","Eggs",FALSE,931.590896764144
"FARM-081",175.417122912814,-37.8659724279312,"North Island","Waikato","Eggs",TRUE,968.364382124811
"FARM-082",168.265106262269,-46.4966514819536,"South Island","Southland","Eggs",FALSE,914.116769713997
"FARM-083",170.425772843082,-45.7140974331319,"South Island","Otago","Meat",TRUE,946.99956657419
"FARM-084",173.279002296463,-41.2143057722789,"South Island","Nelson","Meat",FALSE,842.55159638068
"FARM-085",175.320670368074,-37.7298613870338,"North Island","Waikato","Meat",FALSE,1118.25782814696
"FARM-086",173.448648755862,-41.4669786821104,"South Island","Nelson","Meat",FALSE,1092.88473702162
"FARM-087",176.066167617716,-37.7280107748974,"North Island","Bay of Plenty","Meat",TRUE,882.134726175312
"FARM-088",168.245125525206,-46.2942226455938,"South Island","Southland","Meat",TRUE,1267.24060779071
"FARM-089",175.372918184099,-37.6510365345837,"North Island","Waikato","Eggs",FALSE,962.510716386138
"FARM-090",175.231773171018,-37.9911508424776,"North Island","Waikato","Meat",FALSE,954.835390511755
"FARM-091",168.324183460336,-46.6436308500376,"South Island","Southland","Meat",FALSE,775.100183512003
"FARM-092",176.982630735662,-39.6268459770111,"North Island","Hawke's Bay","Meat",TRUE,1005.13080217148
"FARM-093",170.426251877962,-46.0173094260354,"South Island","Otago","Meat",TRUE,863.342916673486
"FARM-094",174.673069248229,-36.7762611449915,"North Island","Auckland","Meat",FALSE,1052.70783809738
"FARM-095",172.609166883538,-43.484529065825,"South Island","Canterbury","Meat",FALSE,1029.31215433228
"FARM-096",172.592951271638,-43.3523318671697,"South Island","Canterbury","Meat",FALSE,1128.94448900707
"FARM-097",170.417595764591,-45.8605014411772,"South Island","Otago","Eggs",FALSE,898.876729211559
"FARM-098",172.745100840816,-43.564461262214,"South Island","Canterbury","Meat",TRUE,750.612152275431
"FARM-099",174.022273041675,-38.8987323364852,"North Island","Taranaki","Eggs",FALSE,1058.50686712629
"FARM-100",172.648202910904,-43.4524290636388,"South Island","Canterbury","Eggs",FALSE,1066.20485236145
"FARM-101",175.296442987138,-37.7195720874386,"North Island","Waikato","Meat",TRUE,1192.59488865132
"FARM-102",174.556947777736,-41.182784578398,"North Island","Wellington","Eggs",TRUE,975.522129744789
"FARM-103",172.681553188563,-43.5514130769686,"South Island","Canterbury","Eggs",TRUE,1074.93535646825
"FARM-104",175.460196058394,-37.7536368936088,"North Island","Waikato","Eggs",FALSE,1069.02161005967
"FARM-105",175.27835142556,-37.6816436213426,"North Island","Waikato","Eggs",FALSE,928.557693996687
"FARM-106",175.186970576299,-37.9852276157163,"North Island","Waikato","Meat",TRUE,766.503641442165
"FARM-107",174.237338976281,-39.0584489821384,"North Island","Taranaki","Meat",TRUE,896.646619133023
"FARM-108",176.201262946787,-37.7770980920038,"North Island","Bay of Plenty","Meat",FALSE,1022.26110836299
"FARM-109",174.881682040915,-36.9400934214911,"North Island","Auckland","Eggs",FALSE,1020.31442363563
"FARM-110",176.195871305017,-37.7676112067634,"North Island","Bay of Plenty","Eggs",FALSE,794.148723928762
"FARM-111",172.713608555131,-43.4938569248846,"South Island","Canterbury","Eggs",FALSE,986.034448394817
"FARM-112",174.953518617727,-41.2917349312264,"North Island","Wellington","Eggs",TRUE,832.268809840805
"FARM-113",175.358970308089,-37.9018195359799,"North Island","Waikato","Meat",TRUE,1111.72410363246
"FARM-114",174.805028139579,-36.7913308625157,"North Island","Auckland","Eggs",FALSE,1011.65238789368
"FARM-115",175.199037406887,-37.7413804990076,"North Island","Waikato","Meat",FALSE,925.010681128884
"FARM-116",175.349657668796,-37.7426105544203,"North Island","Waikato","Meat",TRUE,1091.76152184141
"FARM-117",176.120292480133,-37.6538572547108,"North Island","Bay of Plenty","Eggs",FALSE,869.644783672593
"FARM-118",175.541660478247,-37.6682316356289,"North Island","Waikato","Eggs",TRUE,1174.92369855147
"FARM-119",175.321142917238,-37.8573116960132,"North Island","Waikato","Meat",TRUE,884.540254171529
"FARM-120",170.404237040571,-45.9398848241837,"South Island","Otago","Meat",FALSE,728.913344965649
"FARM-121",172.83692433995,-43.4564126853488,"South Island","Canterbury","Eggs",TRUE,862.380138902327
"FARM-122",175.224799386602,-37.7298260348525,"North Island","Waikato","Meat",FALSE,946.531500314356
"FARM-123",175.979623481367,-37.5791108060313,"North Island","Bay of Plenty","Eggs",TRUE,973.51694398218
"FARM-124",170.374610119111,-45.8811390598386,"South Island","Otago","Eggs",TRUE,880.103308548026
"FARM-125",172.644998439906,-43.4694964039313,"South Island","Canterbury","Eggs",FALSE,941.080536126478
"FARM-126",175.228156834703,-37.6776471846826,"North Island","Waikato","Meat",TRUE,1041.05876234866
"FARM-127",172.695030937722,-43.600536205371,"South Island","Canterbury","Eggs",FALSE,1038.72129737529
"FARM-128",175.582477761673,-40.1837527928321,"North Island","Manawatu","Meat",TRUE,1016.56180955316
"FARM-129",175.057164534819,-37.8630020695495,"North Island","Waikato","Meat",TRUE,862.725831621632
"FARM-130",172.605239099242,-43.6934157626782,"South Island","Canterbury","Eggs",TRUE,1031.94049748508
"FARM-131",172.852056948544,-43.5423993779924,"South Island","Canterbury","Meat",FALSE,1210.50030118707
"FARM-132",174.026878052324,-39.0395860529694,"North Island","Taranaki","Meat",FALSE,878.734778674945
"FARM-133",175.20933627176,-37.8583239219429,"North Island","Waikato","Meat",FALSE,1287.93003436396
"FARM-134",175.265529408998,-37.8916362271701,"North Island","Waikato","Eggs",FALSE,1129.85033264618
"FARM-135",174.518367353823,-35.7871434165634,"North Island","Northland","Eggs",TRUE,810.41384183404
"FARM-136",175.175437451764,-37.67781371843,"North Island","Waikato","Eggs",TRUE,856.506118405846
"FARM-137",175.373680192503,-38.0000663704984,"North Island","Waikato","Eggs",FALSE,954.494490821044
"FARM-138",175.536334655682,-40.5690871859582,"North Island","Manawatu","Eggs",FALSE,999.669459264915
"FARM-139",176.130689042643,-37.819110001012,"North Island","Bay of Plenty","Meat",FALSE,863.039296753652
"FARM-140",174.717374078092,-36.7428008480478,"North Island","Auckland","Eggs",FALSE,902.553523533525
"FARM-141",174.173712088924,-38.9705129847917,"North Island","Taranaki","Eggs",FALSE,1056.44666163821
"FARM-142",174.833040420614,-36.9342632298901,"North Island","Auckland","Eggs",FALSE,1041.6994573973
"FARM-143",175.739141482097,-40.3553702507726,"North Island","Manawatu","Meat",TRUE,886.791866444132
"FARM-144",174.207866918278,-38.9976631851297,"North Island","Taranaki","Eggs",FALSE,929.03729234208
"FARM-145",174.57939756954,-35.6714908048131,"North Island","Northland","Eggs",FALSE,862.907435934241
"FARM-146",175.288454777846,-37.7368055526598,"North Island","Waikato","Meat",TRUE,609.505043586008
"FARM-147",174.975772973649,-37.7702577319236,"North Island","Waikato","Meat",FALSE,910.97987526986
"FARM-148",174.015039902633,-39.0273433215537,"North Island","Taranaki","Eggs",FALSE,904.153015814024
"FARM-149",173.986887251175,-39.204023199151,"North Island","Taranaki","Eggs",FALSE,984.112456552664
"FARM-150",175.244485349811,-37.578529092013,"North Island","Waikato","Eggs",TRUE,852.956326820641
